split,category,stem,fog_path,archive_path,low_band_ratio_0p01_0p05,high_band_ratio_0p15_0p24
test,dishes,image0080,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0080.jpeg,archive_gt_matched/dishes/image0080.jpeg,0.031256935291884724,0.0016051575999008368
test,dishes,image0090,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0090.jpeg,archive_gt_matched/dishes/image0090.jpeg,0.02830488008666087,0.0013873461800207605
test,dishes,image0100,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0100.jpeg,archive_gt_matched/dishes/image0100.jpeg,0.03977064642533056,0.0030143875023341767
test,dishes,image0110,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0110.jpeg,archive_gt_matched/dishes/image0110.jpeg,0.03620245934885112,0.0019874604987356603
test,dishes,image0120,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0120.jpeg,archive_gt_matched/dishes/image0120.jpeg,0.026605525217811073,0.0010985016000010694
test,dishes,image0130,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0130.jpeg,archive_gt_matched/dishes/image0130.jpeg,0.04421079324938805,0.003371656622134162
test,dishes,image0140,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0140.jpeg,archive_gt_matched/dishes/image0140.jpeg,0.04178394021709312,0.00319754444565596
test,dishes,image0150,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0150.jpeg,archive_gt_matched/dishes/image0150.jpeg,0.08332041475833527,0.006024791443927994
test,dishes,image0160,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0160.jpeg,archive_gt_matched/dishes/image0160.jpeg,0.09233684050540891,0.004954135431141735
test,dishes,image0170,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0170.jpeg,archive_gt_matched/dishes/image0170.jpeg,0.06336348694679367,0.00634312299756358
test,dishes,image0180,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0180.jpeg,archive_gt_matched/dishes/image0180.jpeg,0.04082907138503572,0.00798661976072406
test,dishes,image0190,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0190.jpeg,archive_gt_matched/dishes/image0190.jpeg,0.10183328429311347,0.019387727519868222
test,dishes,image0200,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0200.jpeg,archive_gt_matched/dishes/image0200.jpeg,0.05963216477742819,0.003502217769527967
test,dishes,image0210,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0210.png,archive_gt_matched/dishes/image0210.png,0.04313046759662634,0.0022244442143769787
test,dishes,image0220,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0220.jpeg,archive_gt_matched/dishes/image0220.jpeg,0.09189055207624991,0.007605907189427076
test,dishes,image0230,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0230.jpeg,archive_gt_matched/dishes/image0230.jpeg,0.08473859457616359,0.004456237289394447
test,dishes,image0240,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0240.jpeg,archive_gt_matched/dishes/image0240.jpeg,0.08754682178960704,0.00463756660594023
test,dishes,image0250,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0250.jpeg,archive_gt_matched/dishes/image0250.jpeg,0.09533265154016116,0.005283113827045622
test,dishes,image0260,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0260.jpeg,archive_gt_matched/dishes/image0260.jpeg,0.11606214166932538,0.008117676891017509
test,dishes,image0270,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0270.jpeg,archive_gt_matched/dishes/image0270.jpeg,0.06746236374804496,0.003438764847811607
test,dishes,image0280,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0280.jpeg,archive_gt_matched/dishes/image0280.jpeg,0.12864550223175816,0.011459992526443035
test,dishes,image0290,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0290.jpeg,archive_gt_matched/dishes/image0290.jpeg,0.06775959968803771,0.018547047402997077
test,dishes,image0300,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0300.jpeg,archive_gt_matched/dishes/image0300.jpeg,0.1308719047989731,0.006118402889734905
test,dishes,image0310,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0310.jpeg,archive_gt_matched/dishes/image0310.jpeg,0.09491551127142357,0.006774849384142797
test,dishes,image0320,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0320.png,archive_gt_matched/dishes/image0320.png,0.14588177264424917,0.007498873205727538
test,dishes,image0330,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0330.jpeg,archive_gt_matched/dishes/image0330.jpeg,0.09792446592727677,0.0067269287858412
test,dishes,image0340,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0340.jpeg,archive_gt_matched/dishes/image0340.jpeg,0.08674900862580509,0.003479409135869095
test,dishes,image0350,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0350.jpeg,archive_gt_matched/dishes/image0350.jpeg,0.09702233360153407,0.005356312231817703
test,dishes,image0360,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0360.png,archive_gt_matched/dishes/image0360.png,0.11056495284387266,0.005402411291969962
test,dishes,image0370,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0370.jpeg,archive_gt_matched/dishes/image0370.jpeg,0.09357103472050679,0.003985357972755693
test,dishes,image0380,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0380.jpeg,archive_gt_matched/dishes/image0380.jpeg,0.09184331483230873,0.028556563096057426
test,dishes,image0390,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0390.jpeg,archive_gt_matched/dishes/image0390.jpeg,0.31093877078759913,0.031142156288497414
test,dishes,image0400,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0400.jpeg,archive_gt_matched/dishes/image0400.jpeg,0.1436759951145405,0.011000200414848017
test,dishes,image0410,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0410.jpeg,archive_gt_matched/dishes/image0410.jpeg,0.1094837023855228,0.005967971602985707
test,dishes,image0420,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0420.jpeg,archive_gt_matched/dishes/image0420.jpeg,0.12400476160311061,0.007434355425318945
test,dishes,image0430,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0430.jpeg,archive_gt_matched/dishes/image0430.jpeg,0.11353336368809638,0.009978685326826522
test,dishes,image0440,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0440.jpeg,archive_gt_matched/dishes/image0440.jpeg,0.13094284453240645,0.01674545413336583
test,dishes,image0450,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0450.jpeg,archive_gt_matched/dishes/image0450.jpeg,0.12222772562737427,0.010051489419582478
test,dishes,image0460,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0460.jpeg,archive_gt_matched/dishes/image0460.jpeg,0.11714999245082056,0.006091987856683212
test,dishes,image0470,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0470.png,archive_gt_matched/dishes/image0470.png,0.13906343287512907,0.01351248461091696
test,dishes,image0480,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0480.jpeg,archive_gt_matched/dishes/image0480.jpeg,0.09778204217717265,0.007371026554126505
test,dishes,image0490,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0490.jpeg,archive_gt_matched/dishes/image0490.jpeg,0.21121086621668245,0.01858508347874112
test,dishes,image0500,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0500.jpeg,archive_gt_matched/dishes/image0500.jpeg,0.1008953790266919,0.009130087820689381
test,dishes,image0510,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0510.jpeg,archive_gt_matched/dishes/image0510.jpeg,0.011197284696860564,0.001383980031171621
test,dishes,image0520,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0520.jpeg,archive_gt_matched/dishes/image0520.jpeg,0.012302887929504017,0.0013428133517855764
test,dishes,image0530,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0530.jpeg,archive_gt_matched/dishes/image0530.jpeg,0.017568516121378698,0.002758511116196587
test,dishes,image0540,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0540.jpeg,archive_gt_matched/dishes/image0540.jpeg,0.02426973336832864,0.001579152876890192
test,dishes,image0550,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0550.jpeg,archive_gt_matched/dishes/image0550.jpeg,0.026007092953715272,0.008155641088664163
test,dishes,image0560,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0560.jpeg,archive_gt_matched/dishes/image0560.jpeg,0.015175536808219276,0.0056404913715715705
test,dishes,image0570,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0570.jpeg,archive_gt_matched/dishes/image0570.jpeg,0.011454950838859177,0.0018521267005176848
test,dishes,image0580,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0580.jpeg,archive_gt_matched/dishes/image0580.jpeg,0.0297367626648793,0.0017135086882844727
test,dishes,image0590,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0590.jpeg,archive_gt_matched/dishes/image0590.jpeg,0.004530646532719318,0.013302431480892475
test,dishes,image0600,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0600.jpeg,archive_gt_matched/dishes/image0600.jpeg,0.005269482773273179,0.012577321241644474
test,dishes,image0610,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0610.jpeg,archive_gt_matched/dishes/image0610.jpeg,0.006838308195265291,0.001264058117157828
test,dishes,image0620,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0620.jpeg,archive_gt_matched/dishes/image0620.jpeg,0.007993692280508093,0.0005607016320209577
test,dishes,image0630,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0630.jpeg,archive_gt_matched/dishes/image0630.jpeg,0.010504915653021142,0.007497709065416735
test,dishes,image0640,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0640.jpeg,archive_gt_matched/dishes/image0640.jpeg,0.01776222116018683,0.0063026751415665196
test,dishes,image0650,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0650.jpeg,archive_gt_matched/dishes/image0650.jpeg,0.010184553134057469,0.0009566758082010925
test,dishes,image0660,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0660.jpeg,archive_gt_matched/dishes/image0660.jpeg,0.017488560460018104,0.0029094919130172817
test,dishes,image0671,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0671.jpeg,archive_gt_matched/dishes/image0671.jpeg,0.013401380978777997,0.002015264238679612
test,dishes,image0681,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0681.jpeg,archive_gt_matched/dishes/image0681.jpeg,0.020553255676020298,0.002150936953536439
test,dishes,image0691,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0691.jpeg,archive_gt_matched/dishes/image0691.jpeg,0.01535643917078908,0.002826703550633839
test,dishes,image0701,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0701.jpeg,archive_gt_matched/dishes/image0701.jpeg,0.012227139533934218,0.0008772410055848845
test,dishes,image0711,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0711.jpeg,archive_gt_matched/dishes/image0711.jpeg,0.022801357156876655,0.0013360867005148096
test,dishes,image0721,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0721.jpeg,archive_gt_matched/dishes/image0721.jpeg,0.0437024576535302,0.004159519605919196
test,dishes,image0731,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0731.png,archive_gt_matched/dishes/image0731.png,0.05417356982171275,0.001783664881919518
test,dishes,image0741,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0741.jpeg,archive_gt_matched/dishes/image0741.jpeg,0.05384707066891655,0.002089560375169663
test,dishes,image0751,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0751.jpeg,archive_gt_matched/dishes/image0751.jpeg,0.021787466256576144,0.0024084878220790294
test,dishes,image0761,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0761.jpeg,archive_gt_matched/dishes/image0761.jpeg,0.01948506977755351,0.0012651808414304321
test,dishes,image0771,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0771.jpeg,archive_gt_matched/dishes/image0771.jpeg,0.017956967500459154,0.0015939703737543871
test,dishes,image0781,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0781.jpeg,archive_gt_matched/dishes/image0781.jpeg,0.02064264203930976,0.001633402593064324
test,dishes,image0791,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0791.png,archive_gt_matched/dishes/image0791.png,0.036466794497533234,0.004228879522698258
test,dishes,image0801,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0801.jpeg,archive_gt_matched/dishes/image0801.jpeg,0.032000688172168786,0.0016244889849497607
test,dishes,image0811,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0811.jpeg,archive_gt_matched/dishes/image0811.jpeg,0.04165830420816403,0.0025059853026994654
test,dishes,image0821,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0821.jpeg,archive_gt_matched/dishes/image0821.jpeg,0.053915053386619685,0.0065352637809064
test,dishes,image0831,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0831.jpeg,archive_gt_matched/dishes/image0831.jpeg,0.0347849088261634,0.0030016269611309954
test,dishes,image0841,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0841.jpeg,archive_gt_matched/dishes/image0841.jpeg,0.010217257734012629,0.0019148945769337823
test,dishes,image0851,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0851.jpeg,archive_gt_matched/dishes/image0851.jpeg,0.00821178511911499,0.0031978787106149904
test,dishes,image0861,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0861.jpeg,archive_gt_matched/dishes/image0861.jpeg,0.017860081389715912,0.002127310465541114
test,dishes,image0871,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0871.jpeg,archive_gt_matched/dishes/image0871.jpeg,0.02656334780103638,0.002677754433047076
test,dishes,image0881,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0881.png,archive_gt_matched/dishes/image0881.png,0.008631937804972057,0.0007850752994254106
test,dishes,image0891,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0891.jpeg,archive_gt_matched/dishes/image0891.jpeg,0.013632075662414745,0.008449427964417198
test,dishes,image0901,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0901.jpeg,archive_gt_matched/dishes/image0901.jpeg,0.015674847978188047,0.013809626926499419
test,dishes,image0911,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0911.jpeg,archive_gt_matched/dishes/image0911.jpeg,0.02058335578012064,0.005446819129980963
test,furniture,image0000,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0000.jpeg,archive_gt_matched/furniture/image0000.jpeg,0.027708437349443615,0.0019888183159834914
test,furniture,image0010,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0010.jpeg,archive_gt_matched/furniture/image0010.jpeg,0.013383266656730395,0.0021501426639002038
test,furniture,image0020,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0020.jpeg,archive_gt_matched/furniture/image0020.jpeg,0.011764660595536379,0.002459990748575205
test,furniture,image0030,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0030.jpeg,archive_gt_matched/furniture/image0030.jpeg,0.012623837651891009,0.007076848249433298
test,furniture,image0040,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0040.jpeg,archive_gt_matched/furniture/image0040.jpeg,0.01774048313616019,0.005613497447442268
test,furniture,image0050,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0050.jpeg,archive_gt_matched/furniture/image0050.jpeg,0.022628121004625405,0.0022189880776967534
test,furniture,image0060,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0060.png,archive_gt_matched/furniture/image0060.png,0.034260963989996666,0.00412711999380663
test,furniture,image0070,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0070.jpeg,archive_gt_matched/furniture/image0070.jpeg,0.026137805870667316,0.0022838268601575564
test,furniture,image0080,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0080.jpeg,archive_gt_matched/furniture/image0080.jpeg,0.026041340735920505,0.005609708443715138
test,furniture,image0090,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0090.jpeg,archive_gt_matched/furniture/image0090.jpeg,0.026612105074054378,0.009627990440381729
test,furniture,image0100,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0100.jpeg,archive_gt_matched/furniture/image0100.jpeg,0.027186859024681608,0.006014433678245943
test,furniture,image0110,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0110.jpeg,archive_gt_matched/furniture/image0110.jpeg,0.0414068449032936,0.00649564348598209
test,furniture,image0120,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0120.jpeg,archive_gt_matched/furniture/image0120.jpeg,0.03637592321623048,0.006946635020183451
test,furniture,image0130,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0130.jpeg,archive_gt_matched/furniture/image0130.jpeg,0.048226135101667275,0.005728401354815998
test,furniture,image0140,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0140.jpeg,archive_gt_matched/furniture/image0140.jpeg,0.031583868505385276,0.006165003338887493
test,furniture,image0150,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0150.jpeg,archive_gt_matched/furniture/image0150.jpeg,0.08700658036048928,0.010146045197184015
test,furniture,image0160,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0160.jpeg,archive_gt_matched/furniture/image0160.jpeg,0.03437066812469265,0.003963001648717699
test,furniture,image0170,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0170.jpeg,archive_gt_matched/furniture/image0170.jpeg,0.052740452101544724,0.014942838544124325
test,furniture,image0180,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0180.jpeg,archive_gt_matched/furniture/image0180.jpeg,0.0647098706892421,0.0052458151319303105
test,furniture,image0190,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0190.jpeg,archive_gt_matched/furniture/image0190.jpeg,0.3669538520097685,0.1276114565686537
test,furniture,image0200,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0200.jpeg,archive_gt_matched/furniture/image0200.jpeg,0.06252402371611161,0.009313387589678205
test,furniture,image0210,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0210.jpeg,archive_gt_matched/furniture/image0210.jpeg,0.09391558094191826,0.017671641620725022
test,furniture,image0220,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0220.jpeg,archive_gt_matched/furniture/image0220.jpeg,0.07260163793731872,0.005332934318100612
test,furniture,image0230,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0230.jpeg,archive_gt_matched/furniture/image0230.jpeg,0.06545040851375186,0.013159849126004165
test,furniture,image0240,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0240.png,archive_gt_matched/furniture/image0240.png,0.1956864235954533,0.00918439273068995
test,furniture,image0250,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0250.png,archive_gt_matched/furniture/image0250.png,0.07669796481892505,0.005734115580943465
test,furniture,image0260,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0260.jpeg,archive_gt_matched/furniture/image0260.jpeg,0.07310687679620134,0.007673892837447356
test,furniture,image0270,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0270.jpeg,archive_gt_matched/furniture/image0270.jpeg,0.06231396401227898,0.004168750927489891
test,furniture,image0280,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0280.jpeg,archive_gt_matched/furniture/image0280.jpeg,0.07941282715189357,0.00822936296363444
test,furniture,image0290,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0290.jpeg,archive_gt_matched/furniture/image0290.jpeg,0.09184881427934535,0.009614447957527493
test,furniture,image0300,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0300.jpeg,archive_gt_matched/furniture/image0300.jpeg,0.11338698001170608,0.011222522225924146
test,furniture,image0310,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0310.jpeg,archive_gt_matched/furniture/image0310.jpeg,0.038352605794847776,0.0024306152758619727
test,furniture,image0320,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0320.jpeg,archive_gt_matched/furniture/image0320.jpeg,0.0792739804673672,0.0034365702546160907
test,furniture,image0330,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0330.jpeg,archive_gt_matched/furniture/image0330.jpeg,0.0572264000614726,0.006014170960212252
test,furniture,image0340,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0340.jpeg,archive_gt_matched/furniture/image0340.jpeg,0.04912525708001921,0.0022708550069714113
test,furniture,image0350,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0350.jpeg,archive_gt_matched/furniture/image0350.jpeg,0.14058939050769526,0.014508051422008814
test,furniture,image0360,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0360.jpeg,archive_gt_matched/furniture/image0360.jpeg,0.14914823389307955,0.009174472759112122
test,furniture,image0370,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0370.jpeg,archive_gt_matched/furniture/image0370.jpeg,0.0661771710862125,0.006672621545723039
test,furniture,image0380,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0380.jpeg,archive_gt_matched/furniture/image0380.jpeg,0.5263694997844077,0.059307741505823776
test,furniture,image0390,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0390.jpeg,archive_gt_matched/furniture/image0390.jpeg,0.11469322763166209,0.04308332790402774
test,furniture,image0400,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0400.jpeg,archive_gt_matched/furniture/image0400.jpeg,0.11608568328831534,0.008423557938932708
test,furniture,image0410,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0410.jpeg,archive_gt_matched/furniture/image0410.jpeg,0.2009646921018642,0.023015337672138095
test,furniture,image0420,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0420.jpeg,archive_gt_matched/furniture/image0420.jpeg,0.04194086755444544,0.004589366409551745
test,furniture,image0430,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0430.jpeg,archive_gt_matched/furniture/image0430.jpeg,0.15118717850425972,0.02054453652812831
test,furniture,image0440,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0440.jpeg,archive_gt_matched/furniture/image0440.jpeg,0.13743487541846444,0.018214267541408927
test,furniture,image0450,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0450.jpeg,archive_gt_matched/furniture/image0450.jpeg,0.1198446149294459,0.007744381881067225
test,furniture,image0460,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0460.jpeg,archive_gt_matched/furniture/image0460.jpeg,0.14489508790838435,0.012103585432968588
test,furniture,image0470,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0470.jpeg,archive_gt_matched/furniture/image0470.jpeg,0.10306822126392949,0.012594167462174179
test,furniture,image0480,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0480.jpeg,archive_gt_matched/furniture/image0480.jpeg,0.14879569598025666,0.01568725939650905
test,furniture,image0490,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0490.jpeg,archive_gt_matched/furniture/image0490.jpeg,0.09459394002695909,0.01279667459968454
test,furniture,image0500,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0500.jpeg,archive_gt_matched/furniture/image0500.jpeg,0.1719842297139677,0.016464788645504994
test,furniture,image0510,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0510.jpeg,archive_gt_matched/furniture/image0510.jpeg,0.015205505571266702,0.0069715514371203255
test,furniture,image0520,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0520.jpeg,archive_gt_matched/furniture/image0520.jpeg,0.01931739570165094,0.0011921776623168734
test,furniture,image0530,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0530.jpeg,archive_gt_matched/furniture/image0530.jpeg,0.01840427211512634,0.0026894449069917105
test,furniture,image0540,VerticalFilter_MediumFog_Redo_3-21-26_aligned/furniture/image0540.jpeg,archive_gt_matched/furniture/image0540.jpeg,0.024887994457492815,0.002166390843081239
